Name,Birthplace,Lat,Long
Abomination,"Zagreb, Yugoslavia",45.815011,15.981919
Angel,"Long Island, New York",40.789142,-73.134961
Ant-Man,"Emlsford, New York",41.055097,-73.820134
Apocalypse,"Akkaba Region, Egypt",29.491037,34.93708
Azazel,"Isla des Demonas, Caribbean Sea",,
Banshee,"County Mayo, Ireland",54.01526,-9.428937
Batroc the Leaper,"Marseille, France",43.296482,5.36978
Beast,"Dundee, Illinois",42.108914,-88.297581
Bishop,"Brooklyn, New York",40.678178,-73.944158
Black Cat,"Flushing, New York",40.767499,-73.833079
Black Widow,"Volgograd, Russia",48.708048,44.513303
Blade,"London, England",51.507351,-0.127758
Blob,"Lubbock, Texas",33.577863,-101.855166
Blue Marvel,"Chicago, Illiois",41.878114,-87.629798
Cable,"Salem Center, New York",41.329261,-73.598183
Captain America,New York City,40.712784,-74.005941
Captain Britain,"Braddock Manor, England",52.355518,-1.17432
Carnage,"Brooklyn, New York",40.678178,-73.944158
Colossus,"Lake Baikai, Russia",53.5587,108.164996
Cyclops,"Anchorage, Alaska",61.218056,-149.900278
Daredevil,New York City,40.712784,-74.005941
Deadpool,"Unknown, Canada",55.983803,-120.83131
Deathlok,"Detroit, Michigan",42.331427,-83.045754
Doctor Octopus,"Schenectady, New York",42.814243,-73.939569
Doctor Strange,"Philadelphia, Pennsylvania",39.952584,-75.165222
Domino,"Everglades, Florida",25.858244,-81.385069
Dr. Doom,"Hassenstadt, Latveria",,
Emma Frost,"Boston, Massachusetts",42.360082,-71.05888
Gambit,"New Orleans, Louisiana",29.951066,-90.071532
Ghost Rider,"Waukegan, Illinois",42.363633,-87.844794
Havok,"Honolulu, Hawaii",21.306944,-157.858333
Hawkeye,"Waverly, Iowa",42.727203,-92.466851
Hercules,"Thebes, Greece",38.256369,23.048854
Hulk,"Dayton, Ohio",39.758948,-84.191607
Human Torch,"Long Island, New York",40.789142,-73.134961
Iceman,"Long Island, New York",40.789142,-73.134961
Iron Fist,New York City,40.712784,-74.005941
Iron Man,"Long Island, New York",40.789142,-73.134961
Jean Grey,New York City,40.712784,-74.005941
Jubilee,"Beverly Hills, California",34.07362,-118.400356
Juggernaut,"Berkeley, California",37.871593,-122.272747
Kitty Pryde,"Deerfield, Illinois",42.171137,-87.844512
Kraven the Hunter,"Volgograd, Russia",48.708048,44.513303
Luke Cage,New York City,40.712784,-74.005941
Magneto,"Nuremberg, Germany",49.45203,11.07675
Man-thing,"Omaha, Nebraska",41.252363,-95.997988
Maria Hill,"Chicago, Illiois",41.878114,-87.629798
Mister Sinister,"London, England",51.507351,-0.127758
Mr. Fantastic,"Central City, California",38.39278,-121.57194
Nick Furry,New York City,40.712784,-74.005941
Nightcrawler,"Bavaria, Germany",48.790447,11.497889
Norman Osborn,"Hartford, Connecticut",41.763711,-72.685093
Nova,"Queens, New York",40.728224,-73.794852
Omega Red,"Unknown, Russia",61.52401,105.318756
Professor X,New York City,40.712784,-74.005941
Psylocke,"Braddock Manor, England",52.355518,-1.17432
Punisher,"Queens, New York",40.728224,-73.794852
Pyro,"Sydney, Australia",-33.867487,151.20699
Rogue,"Caldecott County, Mississippi",32.354668,-89.398528
Sabretooth,"Edmonton, Alberta, Canada",53.544389,-113.490927
SHE-Hulk,"Los Angeles, California",34.052234,-118.243685
Spider-Man,"Forest Hills, New York",40.718106,-73.844847
Spider-Woman,"London, England",51.507351,-0.127758
Storm,New York City,40.712784,-74.005941
Sub-Mariner,Atlantis,26.590902,-80.100876
Thing,New York City,40.712784,-74.005941
Toad,"York, England",53.959965,-1.087298
Venom,New York City,40.712784,-74.005941
Vulture,"Staten Island, New York",40.579532,-74.150201
War Machine,"Philadelphia, Pennsylvania",39.952584,-75.165222
Warpath,"Camp Verde, Arizona",34.563636,-111.854318
Wasp,"Cresskill, New Jersey",40.941487,-73.959304
Wolverine,"Alberta, Canada",53.933271,-116.576504
Wonder Man,"Paterson, New Jersey",40.916765,-74.171811
Wong,"Kamar-Taj, Tibet",,
