Row,Rank,Title,Studio,Studio_abb,Adjusted Gross,Unadjusted Gross,Theaters,Opening,Date,Year
1,6,Deadpool,Fox,Fox,360648900,360648943,3856,132434639,2/12/16,2016
2,34,Fantastic Four,Fox,Fox,58344000,56117548,4004,25685737,8/7/15,2015
3,20,Ant-Man,BuenaVista,BV,187285300,180202163,3868,57225526,7/17/15,2015
4,2,Avengers: Age of Ultron,BuenaVista,BV,459260900,459005868,4276,191271109,5/1/15,2015
6,8,Guardians of the Galaxy,BuenaVista,BV,353303500,333176600,4088,94320883,8/1/14,2014
7,14,X-Men: Days of Future Past,Fox,Fox,241381100,233921534,4001,90823660,5/23/14,2014
8,18,The Amazing Spider-Man 2,Sony,Sony,209037300,202853933,4324,91608337,5/2/14,2014
9,12,Captain America: The Winter Soldier,BuenaVista,BV,267656500,259766572,3938,95023721,4/4/14,2014
10,17,Thor: The Dark World,BuenaVista,BV,212276600,206362140,3841,85737841,11/8/13,2013
11,27,The Wolverine,Fox,Fox,144966900,132556852,3924,53113752,7/26/13,2013
12,3,Iron Man 3,BuenaVista,BV,418775700,409013994,4253,174144585,5/3/13,2013
13,11,The Amazing Spider-Man,Sony,Sony,288956700,262030663,4318,62004688,7/3/12,2012
14,1,The Avengers,BuenaVista,BV,659640800,623357910,4349,207438708,5/4/12,2012
15,36,Ghost Rider: Spirit of Vengeance,Sony,Sony,56053100,51774002,3174,22115334,2/17/12,2012
16,22,Captain America: The First Avenger,Paramount,Paramount,190920400,176654505,3715,65058524,7/22/11,2011
17,25,X-Men: First Class,Fox,Fox,156026100,146408305,3692,55101604,6/3/11,2011
18,19,Thor,Paramount,Paramount,192766600,181030624,3963,65723338,5/6/11,2011
19,10,Iron Man 2,Paramount,Paramount,337192200,312433331,4390,128122480,5/7/10,2010
20,21,X-Men Origins: Wolverine,Fox,Fox,206889700,179883157,4102,85058003,5/1/09,2009
21,40,Punisher: War Zone,LionsGate,LG,9620800,8050977,2508,4271451,12/5/08,2008
22,26,The Incredible Hulk,Universal,Univ,161092400,134806913,3508,55414050,6/13/08,2008
23,9,Iron Man,Paramount,Paramount,380486600,318412101,4154,98618668,5/2/08,2008
24,29,Fantastic Four: Rise of the Silver Surfer,Fox,Fox,164518700,131921738,3963,58051684,6/15/07,2007
25,7,Spider-Man 3,Sony,Sony,419684600,336530303,4324,151116516,5/4/07,2007
26,30,Ghost Rider,Sony,Sony,144416600,115802596,3620,45388836,2/16/07,2007
27,13,X-Men: The Last Stand,Fox,Fox,306996900,234362462,3714,102750665,5/26/06,2006
28,24,Fantastic Four (2005),Fox,Fox,207065900,154696080,3619,56061504,7/8/05,2005
29,38,Elektra,Fox,Fox,32673200,24409722,3204,12804793,1/14/05,2005
30,35,Blade: Trinity,NewLine,NL,72098400,52411906,2912,16061271,12/8/04,2004
31,5,Spider-Man 2,Sony,Sony,516162100,373585825,4166,88156227,6/30/04,2004
32,37,The Punisher,LionsGate,LG,46713600,33810189,2649,13834527,4/16/04,2004
33,28,Hulk,Universal,Univ,188073100,132177234,3674,62128420,6/20/03,2003
34,16,X2: X-Men United,Fox,Fox,305848800,214949694,3749,85558731,5/2/03,2003
35,31,Daredevil,Fox,Fox,145907700,102543518,3474,40310419,2/14/03,2003
36,4,Spider-Man,Sony,Sony,596179100,403706375,3876,114844116,5/3/02,2002
37,32,Blade II,NewLine,NL,121609100,82348319,2707,32528016,3/22/02,2002
38,23,X-Men,Fox,Fox,250395500,157299717,3112,54471475,7/14/00,2000
39,33,Blade,NewLine,NL,128220200,70087718,2389,17073856,8/21/98,1998
40,39,Howard the Duck,Universal,Univ,37686700,16295774,1563,5070136,8/1/86,1986
41,41,Captain America: Civil War,BuenaVista,BV,267656500,267656500,0,95023721,5/6/16,2016
42,42,X-Men: Apocalypse,Fox,Fox,241381100,241381100,0,90823660,5/27/16,2016
43,43,Doctor Strange,BuenaVista,BV,187285300,187285300,0,57225526,11/4/16,2016
44,44,Untitled Wolverine,Fox,Fox,144966900,144966900,0,95023721,3/3/17,2017
45,45,Guardians of the Galaxy Vol. 2,BuenaVista,BV,353303500,353303500,0,94320883,5/5/17,2017
46,46,Spider-Man: Homecoming,Sony,Sony,288956700,288956700,0,62004688,7/7/17,2017
47,47,Thor: Ragnarok,BuenaVista,BV,212276600,212276600,0,85737841,11/3/17,2017
48,48,Black Panther,BuenaVista,BV,360648900,360648900,0,150000000,2/16/18,2018
49,49,Avengers: Infinity War Part I,BuenaVista,BV,459260900,459260900,0,132434639,5/4/18,2018
50,50,Ant-Man and the Wasp,BuenaVista,BV,187285300,187285300,0,57225526,7/6/18,2018
51,51,Captain Marvel,BuenaVista,BV,267656500,267656500,0,95023721,3/18/19,2019
52,52,Avengers: Infinity War Part II,BuenaVista,BV,459260900,459260900,0,132434639,5/3/19,2019
